date,text,likes,retweets
2019-02-24 14:20:08,"""There are two #Bitcoin investor mindsets:\n\n1. How much are my BTC worth in $USD terms?\n\n2. What % of the 21m total supply do I own?\n\nThe first despairs during bear markets. \n\nThe second rejoices."" - @real_vijay",606,132
2019-02-24 19:58:05,"Two LUCKY Retweeters will win 10,000 $WIN each! #TRON $TRX \n\n- Retweet \n- Tag 3 Friends \n- I\'ll reply to your comment if you\'ve won \n\n#Bitcoin $BTC #BitTorrent $BTThttps://twitter.com/EnjinBae/status/1099748101663936512 \xe2\x80\xa6",147,141
2019-02-24 14:20:14,"The @tradingview ""Invert Scale"" feature makes every dump feel like a pump.\n\nAmazing! \n\n#satire\n#crypto #bitcoin #btc #trading pic.twitter.com/4vcXbbafN1",83,10
2019-02-24 10:54:30,Have time to get listing at cheap #price with 85% discount!\nListing price will be changed on March 1!\nhttps://xbts.io/add-coin.html \n\n#xbts #ico #exchange #bitshares #cryptocurrency #token #ethereum #bitcoin #btc #erc20 #waves #wavesplatform #dpos #pos #dex #decentralized #token #coinpic.twitter.com/CnblsFdP5l,22,12
2019-02-24 17:33:22,"Would be insane if that was the trap and now we\xe2\x80\x99ll move towards the last big down move to confirm the bottom & make bullish divs on bigger timeframes, just like 2015. \n\nI\xe2\x80\x99m still in a LTC short. \n\nWouldn\xe2\x80\x99t recommend opening any positions. Just wait it out. \n\n$BTC #BITCOIN",84,6
2019-02-24 14:48:10,And this where the market gets humbled :^)\n\n#Bitcoin | $BTC pic.twitter.com/VPAhTvhYnT,6,0
2019-02-24 10:57:46,XBTS DEX Exchange added on @coinlore https://www.coinlore.com/exchange/xbts \nthx CoinLore\n#xbts #Bitshares #exchange #dex #listing #btc $BTC $STH #bitcoin #altcoin #blockchain #cryptonews #cryptocurrencymarket #coin #token #blockchain #criptomonedas #smartholdem #Marketoverviewpic.twitter.com/VlMn8ks6wb,34,69
2019-02-24 17:38:55,A normal day in crypto market!\n\n#\xd8\xa8\xdb\x8c\xd8\xaa\xda\xa9\xd9\x88\xdb\x8c\xd9\x86 #Bitcoin #BTC #ethereumpic.twitter.com/Z9Ft6D9G1z,33,3
2019-02-24 18:48:00,"#bitcoin - $BTC\n\nWelcome to crypto \n\nOne minute you are pre-ordering the newest Lamborghini, the next you are picking up trash to feed your family \n\nThis shows you how important it is to have a risk management plan in place, always average in and average out  pic.twitter.com/S9OLpr2P4L",19,5
2019-02-24 23:13:07,"#Bitcoin $BTC $Crypto \n\nAdmit it, crypto will not bring financial freedom for most people. Like any other financial markets, it is a device to transfer wealth from the many to the few. In fact, the wealth inequality within crypto is far worse than anything in the real world",56,7
2019-02-24 17:16:58,The Perfect Picture of the Manipulated Market\n\n#Blockchain #fintech #defstar5 #crypto #IOT #bigdata #banking #Mpgvip #investing #Trading #Bitcoin #BTC $btc $crypto $BTCUSD #makeyourownlane #cryptocurrency #ICO #Ethereum #Exchange #TokenSalepic.twitter.com/BWvcjP90wg,9,1
2019-02-24 16:04:39,"Celebrating the one year anniversary of https://lightningnetworkstores.com  with the launch of its official twitter! New stores and trending stores will be automatically tweeted.\n\nLast year, merchant adoption of lightning has had the same pace as bitcoin\'s adoption in 2013.\n#LN #btc #bitcoin pic.twitter.com/3bRuRKbaro",62,24
2019-02-24 22:32:31,"#BTC/USD APAC \n\n#Bitcoin tentatively hangs above the 100-period MA, signaling at an entrenched bear bias if it drops below.\n\nRemains bullish as long as it can hold but the hourly shows a rising price and drop in total volume so take care.\n\n$BTC pic.twitter.com/H8IHpsi2td",28,9
2019-02-24 23:36:43,Green area is the next safe zone of accumulation \xc2\xa9 investa\n\n#bitcoin $btc pic.twitter.com/G2p28dh7Ho,2,0
2019-02-24 19:08:03,"Bulls and bears. \nPessimists and Optimists.\n\nThey all exist in a market. However, how can you survive as a trader? By not being one of the two.\nBe rational. Be realistic. \n\nHedge yourself.\nTake profits. \nBe patient. \n\nhttps://www.instagram.com/p/BuRpH5fhIGO/ \n\n$BTC #BITCOIN",73,5
2019-02-24 17:08:13,Bitcoin! Bitcoin!! Bitcoin!!!! \nHow powerful you are!\nYou make the Altcoins beg for their life. \n \n#bitcoin #btc,21,2
2019-02-24 14:35:25,"Bitcoin Green \xe2\x80\x93 Community Speaks\n\nIn this installment of Community Speaks we will highlight Bitcoin Green, a proof of stake focused cryptocurrency.\n\nRead More: https://www.altcoinbuzz.io/community-speaks/project-overview/bitcoin-green-community-speaks/ \xe2\x80\xa6\n@btc_green #bitg #bitcoin #crypto #pospic.twitter.com/0fn2FjLh1o",23,6
2019-02-24 20:15:50,"An important detail: the balance in your online banking is what the bank says is OWED to you, not what you own. This detail is what allowed banks in Greece to legally take ""haircuts"" of money from every account and classify it as a write-off never to be paid back. #Bitcoin #BTC https://twitter.com/ErikVoorhees/status/1099750591889166336 \xe2\x80\xa6",40,11
2019-02-24 20:18:25,"#bitcoin - $BTC\n\n""but indicators don\'t work"" pic.twitter.com/3ZEzVovWHY",18,1
2019-02-24 21:35:15,The Breeze privacy protocol and #masternodes are coming for @stratisplatform \n#stratis #strat $STRAT #BTC #Bitcoin $BTC #ICO #Microsoft #Azure #breeze #DLT #crypto #altcoin #ColdStaking,37,11
