date,text,likes,retweets
2018-12-24 12:17:23,Gab and the importance of Censorship Resistant Money with Litecoin and Bitcoin.\n@getongab #ltc #Litecoin #btc #Bitcoin #crypto #cryptocurrency \n\nhttps://litecoin.com/en/news/gab-and-the-importance-of-censorship-resistant-money-with-litecoin-and-bitcoin \xe2\x80\xa6,141,44
2018-12-24 17:49:56,We\xe2\x80\x99ve been vulnerable to the banks & merchants who we are trusting with our hard earned money for too long\n\nI\xe2\x80\x99ve been making a slow shift away from this entire ecosystem because it is an ecosystem of theft and deceit\n\nTIME FOR A REVOLUTION!\n\n#Bitcoin #BTC #Litecoin #LTC,159,30
2018-12-24 12:48:32,"#DENT Team is wishing you Happy Holidays! BIG THANKS to all our supporters, we really look forward to a fantastic 2019! ROCK ON! #dentcoin #cryptocurrency #btc #eth #bitcoin #gsma #5G #eSIM #mobile #data #MVNO #MVNE #MNO #Blockchain Join DENT Telegram:  http://t.me/dentcoin pic.twitter.com/j3L0mE8MAn",192,49
2018-12-24 21:32:59,"My friend tried to withdraw $3,000 today from his Bank account, they said \xe2\x80\x9cSorry Sir, $1,000 limit!!\xe2\x80\x9d WTF!! Bitcoin & Litecoin obviously do not have these limitations!! The price may fluctuate but the BTC/LTC is really yours!! #Bitcoin #Litecoinpic.twitter.com/2T7nMmvbQD",119,21
2018-12-24 22:22:53,"The king of bears...""we are now in a bear #market with more pain ahead"" ...but #hodl !?!?\n\n$SPY $DJIA $QQQ $XLK $SMH #stocks #investing $DIS #stockmarket #hold #bitcoin #btc #Ethereum #LTC #ZRX #altcoin #ICO #crypto https://www.cnbc.com/2018/12/24/whats-a-bear-market-and-how-long-do-they-usually-last-.html \xe2\x80\xa6",1,0
2018-12-24 18:48:19,$BTC Weekly Chart.\n\nA Bullish Engulfing candle off of a 200 EMA and old resistance/new support line can be very powerful.  Just sayin\'\n\n#BTC #bitcoin #LTC #litecoinpic.twitter.com/YZYYVorRn8,29,5
2018-12-24 18:58:30,$BTC - update on #bitcoin daily candle\n\n-Upper BB resistance currently rejecting the candle after a break through earlier in the day on higher than average volume\n-Inverse H&S neck line has been established\n-Daily need to close above $4075 to avoid TD price flip pic.twitter.com/cRHUeaN90R,66,17
2018-12-24 22:50:03, NEW #CSGOGIVEAWAY \n ($0.65) M4A1-S NITRO FT \n To enter:\n - RT\n - Follow @GiveawaysMemme\n - Tag 2 friends\n\nRolling in 48 hours! \n\n#giveaway #csgo #vgo #VGOGiveaway #GiveawayAlert #freebie #bitcoin #btc #eth #counterstrike #csgo #free #csgoskinspic.twitter.com/y8JxCgS8d4,69,92
2018-12-24 16:18:36,#Ripple #XRP: Is There An Underlying Chinese Connection To The TRX/XRP #Binance Decision?\nhttps://youtu.be/vJd7Mt1TJXY \n#cryptocurrency #cryptocurrencies #crypto #xrpthestandard #xrparmy #xrpcommunity #xrpthebase #bitcoin #btc #tron #trx #stellar #xlm #fintech #technicalanalysis,28,6
2018-12-24 20:59:01,My first word was #HODL.\n\n#blockchain #bitcoin #btc #cryptocurrency #crypto \n\nhttps://www.amazon.com/Blockchain-Babies-University-Chris-Ferrie/dp/1492680788 \xe2\x80\xa6pic.twitter.com/exq5SCnQcN,19,7
2018-12-24 15:37:06,happy holidays! stocks and cryptos are negatively correlated.  #safehaven $TSLA #Bitcoin $BTC $ETH $EOS $IOTA #cryptoassets #cryptotrifectapic.twitter.com/BQLhgyo1O3,4,1
2018-12-24 08:52:36,The Bitcoin Gold Organization wish you all a Merry Christmas!\n\n#BitcoinGold #BTG #BTGPay #Christmas #Bitcoin #BTC pic.twitter.com/oN9GojIqBz,59,15
2018-12-24 21:00:25,Merry Christmas and happy holidays  from your CMC team! #shares #securities #equities #Blockchain #Exchange #Sto #bitcoin #btc #ripple #xrp #ethereum #eth #bch #xlm #eos #etc #neo #trx #xvg #crypto #tron #sale #bounty #airdrop #btcminingpic.twitter.com/zKzK9GAlxH,75,44
2018-12-24 18:29:56,Bitcoin Is Greener Than Almost Every Other Large-Scale Industry on Earth \xe2\x80\x93 Study\n\n#Crypto $BTC #Bitcoin #BTC\nhttps://dailyhodl.com/2018/12/24/bitcoin-is-greener-than-almost-every-other-large-scale-industry-on-earth-study/ \xe2\x80\xa6,6,2
2018-12-24 17:41:18,"Solid 2nd use Eddie,\n\nHope you didn\'t use this collector\'s item \n2013 FT front page tho: https://sdbullion.com/crypto-conditioning \xe2\x80\xa6\n\n$BTC #Bitcoin #BTC pic.twitter.com/hxc7ljAHxK",2,0
2018-12-24 18:53:25,Good news to all IG holders.\n\nTOP20 Exchange will coming...\nWait announcement.\n\n#igtoken #bitcoin #eth #btc #cryptocurrency,23,8
