date,text,likes,retweets
2019-10-08 16:44:23,http://WTFisBitcoin.com  has graciously agreed to donate 1 BTC for a giveaway. @WTFisBitcoin will be picking one lucky winner from whoever likes and retweets this post! Let\'s do this! #Giveaway #Paid #WTFisBitcoin #Bitcoin,2845,2219
2019-10-08 21:48:32,"Fun part, if altcoins are going to run, they can take 6-9 months of red away in a matter of a few weeks. \n\n$BTC #BITCOIN",321,23
2019-10-08 17:11:41,"\xe2\x80\x9cThe upcoming third Bitcoin Halving is already priced in\xe2\x80\x9d\n\nI seriously doubt that\n\n- Most people don\xe2\x80\x99t know what the Halving is, let alone its effect on #Bitcoin\xe2\x80\x99s price\n\n- Most people invest emotionally\n\nhttps://medium.com/swlh/bitcoin-halving-everything-you-need-to-know-4573dc5b528e \xe2\x80\xa6\n\n$BTC #Crypto",153,49
2019-10-08 22:17:08,Quite possibly the most important  retrace of the year coming up here \n\nHold support = moon \nLower low = temporary doom \n\n$BTC #bitcoin pic.twitter.com/Dl8avEx43u,56,8
2019-10-08 23:14:25,"Sup guys. I\'m almost at 4k subs on YouTube, if anyone isnt subscribed yet, you should be! Almost to 4K! Help me out ladies and gentlemen! #RIPPLE $XRP #ETHEREUM $ETH #BITCOIN $BTC $ADA $VET $XLM $HOT $DGB $LINK $XDCE $FXC\n\n\nhttps://www.youtube.com/channel/UCAOEOYGEhQNVT1ZNqp42e3g \xe2\x80\xa6pic.twitter.com/hCHPqWsh9n",14,4
2019-10-08 16:41:23,"Check out our latest blog post! In case you missed it.                                      \n\n""Apollo Decentralized Exchange has Arrived"" \n                    \nhttps://medium.com/@apollocurrency/apollo-decentralized-exchange-has-arrived-684189870003 \xe2\x80\xa6\n\n#apl #bitcoin #cryptocurrency #btc #blockchain #crypto #DEX",84,36
2019-10-08 15:06:43,"Waves World #Loyalty\n\nProof Of Stake\n\nMiners #LPoS #91\n\n269.67 $Waves \n407,840 $ww from $MRT \n\nLease #Waves \nEarn #Crypto \n\nDistribution Mondays\n\nhttp://WavesWorld.io \n\n#blockchain #fintech #startups #airdrops #bitcoin #token #cryptocurrency $btc #automation #shoppic.twitter.com/VRsQpEV7xw",45,41
2019-10-08 12:11:22,Feng Han is making big moves for Elastos! Great work brother!  \n\n$ELA $LEO #Bitcoin #BTC #Developers #DataSecuritypic.twitter.com/FkVb5GwtMM,55,13
2019-10-08 15:51:51,Here we go. #Stablecoins Former Bitcoin Core Developer Jeff Garzik: \xe2\x80\x98The Stablecoin is Here to Stay\xe2\x80\x99 #bitcoin #btc #cryptonews #crypto #digitalassets #virtualassetshttps://www.forbes.com/sites/justinoconnell/2019/10/07/former-bitcoin-core-developer-jeff-garzik-on-defi-stablecoins--bitcoin/ \xe2\x80\xa6,1,0
2019-10-08 18:22:21,#chainlink $link #bitcoin #binance\n\nLINK/BTC: Massive Volume on Binance\n\n pic.twitter.com/iQp1gFDb2E,81,13
2019-10-08 11:49:41,#SafeHaven - $SHA\nBuild on the #VeChainThor Network\n\n #SafeKey \n #TAN Trust Alliance Network\n #SafeNodes \n #ThorBlock \n #ThorPay \n #MSW #MySafeWallet \n #PlanChain\n #SafeID\n #SafeNodes\n\n#Bitcoin $BTC $VET #crypto\nBuy on #CryptoExchange #OceanEX $OCEpic.twitter.com/Jj5BhNt2OW,37,10
2019-10-08 19:40:37,US Exchange signups now open! https://www.cryptoninjas.net/2019/10/07/crypto-exchange-mandala-opens-up-for-us-signup-deposit/ \xe2\x80\xa6 #mandalaexchange #mandala #bitcoin #btc #ethereum #litecoin #ripple $XRP $BTC $MDX $LTC $ETH,3,1
2019-10-08 12:08:41,Do you believe Bitcoin should be fully anonymous? #bitcoin #btc,6,1
2019-10-08 15:01:54,"Apollo Facts\nA dose of Apollo facts you did and didn\'t know!\n\nApollo fact #75\nApollo has an extensive growing database of articles on all things crypto, you can find these here https://medium.com/@apollocurrency \n\nWhat\'s Next? #apollonauts\n\n#apl #bitcoin #btc #cryptocurrency #Mediumpic.twitter.com/95bPom97d6",56,24
2019-10-08 19:29:13,"#KYC and #AML with no junk-fees, monthly minimums and 5 minute integration for full #compliance.\n@Go_Aver \n\n#digitalidentity #fatf #ekyc #identityservices #amld5 #facialrecognition #identityverification #cryptocurrency #bitcoin #btc #eth #digitalassetexchangepic.twitter.com/eEFfXMcMpA",6,2
2019-10-08 15:39:27,Wish you had a #bootstrap for your favorite #cryptocurrency ?  Put your request in here https://thecryptoexplorers.net/shop/submitticket.php?step=2&deptid=4 \xe2\x80\xa6 to have it added to TheCryptoExplorers.\n#crypto #bitcoin #btc #altcoins,3,3
2019-10-08 18:17:48,The #Bitcoin $BTC blockchain seems to be in its best shape yet as multiple symbolic milestones signal growth and health of the network.\n\nhttp://j.mp/33fq4w5 ,3,2
2019-10-08 17:37:19,"10/   I do know what to do on an individual level.  I HODL #bitcoin (BTC).  Perhaps holding gold is also reasonable, since BTC is not yet widely understood as a safe-haven asset.",11,0
2019-10-08 23:18:36,"#LightningNetwork \n\nhttp://1ML.com  observed:\n10,098 nodes (5,974 with active channels)\n35,242 channels\n814.721 BTC capacity ($6,669,508)\n\nmedian node capacity: 0.004 BTC ($36.52)\n\npast 24h:\n+15 nodes +147 channels +0.343 BTC ($2,809)\n\n#Lightning #LN #bitcoin $BTC",23,6
2019-10-08 22:25:39,"Crypto market continues to show green candlesticks, Bitcoin recovers to above $8,200  \nhttps://cointelegraph.com/news/crypto-market-continues-to-show-green-candlesticks-btc-recovers-to-8-200 \xe2\x80\xa6\n\n#FCoin #FCoinJP #FCoinEurope #FMEX #Bitcoin #BTC #ETH #XRP #TRX #Crypto",7,2
2019-10-08 17:28:13,"I love articles or ideas I read from #CryptoTwitter that takes #Bitcoin $BTC serious. Rektcapital isn\'t the only one either, but this article is grade A information to keep and use for future references.\n\nPlease read and soak in the information that is provided for free. https://twitter.com/rektcapital/status/1181618178641813505 \xe2\x80\xa6",6,2
2019-10-08 20:53:46,Digital Currencys are unstopable !!!  #ripple #XRP #Bitcoin #btc #Ether #ethereum #crypto #cryptocurrency #money #icohttps://finance.yahoo.com/video/ripple-ceo-explains-why-cryptocurrency-201553032.html \xe2\x80\xa6,1,0
2019-10-08 14:05:11,#Bearish $EURUSD Outlook Spells Trouble For #Bitcoin $BTC\n\nRead more: https://cryptodaily.co.uk/2019/10/bearish-eur-usd-outlook-spells-trouble-for-bitcoin \xe2\x80\xa6,8,2
2019-10-08 21:08:39,Hybrid #Euro Development Update & Pre-Release Announcement. $ZIL\n https://medium.com/@hybridverse/hybrid-euro-development-update-pre-release-announcement-c11315fe9d18 \xe2\x80\xa6\n\n#zil #zilliqa #bitcoin #btc #eth #ethereum #xrp #ripple #bch #ltc #eos #xlm #stellar #ada #cardano #xmr #tron #trx #dash #iota #bnb #neo #etc #xem #xtc #zec #vet #mkr #omg #zrx #qtum #dcr,16,2
2019-10-08 15:40:33,Bundle of all active supply age bands. Each line represents the percentage of circulating supply last moved within the denoted period\n\nvia @glassnode \n\nhttps://glassno.de/hodlwaves \n\n#bitcoin $BTC pic.twitter.com/7EWayt7HXf,3,1
2019-10-08 20:00:57, Whoa \n Taryn Manning - Y\'all Need to DJ!!! T-Shirt \n Get it here  https://tinyurl.com/y5qd7qrt  \n#Bitcoin $BTC #BTC #Crypto #cryptocurrency #ETH #XRP #LTC #XVG #DGBpic.twitter.com/0vbqIw97ZU,3,2
2019-10-08 23:35:07,And I am blocked by @BGIradji the biggest liar on Twitter. \n\nHe simply can\'t proof his trades with screenshots where I asked for. \n\nBut he\'s bragging about it on Link Twitter feeds\n\nThe easy way out is running away like a bitch\n\n$xrp #xrp #XRPcommunity $link #link #bitcoin $btc pic.twitter.com/mKWbPtagwF,7,2
2019-10-08 18:52:42,"#TRON (#TRX) Returns to #11 on CoinMarketCap, gaining 500,000 users with more to come in Q3. \nhttps://www.google.com/amp/s/news.u.today/news/tron-trx-returns-to-spot-11-on-coinmarketcap-adding-500000-users-more-in-q3-2019%3famp \xe2\x80\xa6\n\n#FCoin #FCoinJP #FCoinEurope #FMEX #Bitcoin #BTC #ETH #XRP #TRX #Crypto",6,2
2019-10-08 20:22:00,Much has been said about exchanges the fake their volumes - but why is this done and how can you avoid these exchanges? We take an in depth look in this post. \n\nhttps://www.coinbureau.com/trading/exchange-volume-faking/ \xe2\x80\xa6 #Bitcoin $BTC #crypto #exchange #trading #faking #volume,2,0
2019-10-08 17:53:00,Tough times ahead for BitFinex and Tether. Damages of over $1.4 Trillion? Is this possibly over reach from the attorneys and plaintiffs?\n\nhttps://www.theblockcrypto.com/post/42299/class-action-lawsuit-against-bitfinex-and-tether-filed-by-lawyers-who-successfully-sued-craig-wright \xe2\x80\xa6 #bitcoin $BTC #crypto #blockchain #trading #tether $USDT #Bitfinex #classaction,3,0
2019-10-08 20:58:02,Crypto Ladies - perfect way for you to promote the spread of Bitcoin. Get your nails done with the Bitcoin moniker. Conversation starter  \n\n#Bitcoin #$BTC #crypto #blockchain #adoption #nails #art #awarenesspic.twitter.com/NnsIhyQI52,7,3
2019-10-08 13:34:00,Banks frustrated with SWIFT they don\'t like Swift they are searching alternative.\n#bitcoin #btc #ether #Ethereum\n$xrp #xrp #xrpcommmunity #eth \n#Bitcoinnews #crypto #cryptonews \n#IndiaWantsCryptohttps://twitter.com/XRP_XPRT/status/1181556594678603776 \xe2\x80\xa6,4,4
